smiles_canonical,pIC50,pIC50_std,n_measurements,molecule_chembl_id,targets_measured,has_pf_data,active,scaffold,split
Br.CC(C)(C)c1ccc(OCCCON2C(N)=NC(N)=NC23CCOCC3)cc1,8.429457060118102,,1,CHEMBL3974488,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCCc1ccccc1,4.379863945026242,,1,CHEMBL4778245,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCCc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCNc1ccc(Cl)c(Cl)c1,4.315154638355588,,1,CHEMBL4784738,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCNc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCOc1ccc(Cl)cc1,4.534617148551582,,1,CHEMBL4780381,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCOc1ccc(F)cc1Cl,4.424812155072339,,1,CHEMBL4782529,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCOc1ccccc1,4.440093374963888,,1,CHEMBL4784036,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCSc1ccc(Cl)cc1,4.6252516539898965,,1,CHEMBL4789322,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCSc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCSc1cccc(Cl)c1,4.6252516539898965,,1,CHEMBL4795771,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCSc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCSc1ccccc1Cl,4.675717544702307,,1,CHEMBL4798400,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCSc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCCc1ccccc1,4.407823242604133,,1,CHEMBL4796554,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCc1ccccc1,train
Br.CC1(C)N=C(N)N=C(N)N1OCCSc1ccc(Cl)cc1,4.598599459218456,,1,CHEMBL4796933,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCSc1ccccc1,train
Br.CC1(C)NC(N)=NC(=N)N1OCCCCOc1ccccc1,4.33913452199613,,1,CHEMBL527468,HsDHFR (H. sapiens),False,0,N=C1N=CNCN1OCCCCOc1ccccc1,train
Br.CC1(C)NC(N)=NC(=N)N1OCCCSc1ccccc1,4.536107011014093,,1,CHEMBL587606,HsDHFR (H. sapiens),False,0,N=C1N=CNCN1OCCCSc1ccccc1,train
Br.CC1(C)NC(N)=NC(=N)N1OCCc1ccccc1,4.367542707815276,,1,CHEMBL528489,HsDHFR (H. sapiens),False,0,N=C1N=CNCN1OCCc1ccccc1,train
Br.CC1N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,4.6252516539898965,,1,CHEMBL4780298,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1N=C(N)N=C(N)N1OCCCOc1ccc(Cl)cc1,3.935542010773082,,1,CHEMBL4781162,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1N=C(N)N=C(N)N1OCCCOc1ccc(F)cc1Cl,4.0385789059335515,,1,CHEMBL4792035,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CC1N=C(N)N=C(N)N1OCCCOc1cccc(Cl)c1Cl,4.709965388637482,,1,CHEMBL4792349,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCOc1ccccc1,train
Br.CCN(CC)CCCON1C(N)=NC(N)=NC1(C)C,3.638272163982407,,1,CHEMBL4797103,HsDHFR (H. sapiens),False,0,C1=NC=NCN1,train
Br.CN(CCCON1C(N)=NC(N)=NC1(C)C)c1ccc(Cl)c(Cl)c1,4.407823242604133,,1,CHEMBL4799272,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCNc1ccccc1,train
Br.CN(CCCON1C(N)=NC(N)=NC1(C)C)c1ccc(Cl)cc1,4.478861916295964,,1,CHEMBL4793581,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCNc1ccccc1,train
Br.COc1ccc(OCCCON2C(N)=NC(N)=NC23CCOCC3)cc1,7.955852379121277,,1,CHEMBL3912587,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.Cc1ccc(C)c(NCCCON2C(N)=NC(N)=NC2(C)C)c1,3.9065783148377653,,1,CHEMBL4781149,HsDHFR (H. sapiens),False,0,C1=NC=NCN1OCCCNc1ccccc1,train
Br.Cc1ccc(OCCCON2C(N)=NC(N)=NC23CCOCC3)cc1,7.24603413413484,,1,CHEMBL3965991,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC(c2ccccc2)N(OCCCOc2cc(Cl)c(Cl)cc2Cl)C(N)=N1,3.8386319977650247,,1,CHEMBL4800362,HsDHFR (H. sapiens),False,0,C1=NC=NC(c2ccccc2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2cc(Cl)c(Cl)cc2Cl)C(N)=N1,7.443576878628715,,1,CHEMBL3894617,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccc(Br)cc2)C(N)=N1,7.488250288655017,,1,CHEMBL3893628,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccc(Cl)c(Cl)c2)C(N)=N1,8.08460016478773,,1,CHEMBL3965885,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccc(Cl)cc2)C(N)=N1,7.4741780478433375,,1,CHEMBL3903562,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccc(Cl)cc2Cl)C(N)=N1,8.127261172527332,,1,CHEMBL3931887,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccc(F)cc2)C(N)=N1,7.331427730815442,,1,CHEMBL3957080,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
Br.NC1=NC2(CCOCC2)N(OCCCOc2ccccc2)C(N)=N1,7.064946410768935,,1,CHEMBL3924555,HsDHFR (H. sapiens),False,1,C1=NC=NC2(CCOCC2)N1OCCCOc1ccccc1,train
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,10.739928612014925,,1,CHEMBL306438,MmDHFR (M. musculus),False,1,c1ccc(CCc2cnc3ncncc3n2)cc1,train
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,10.872895201635192,0.0,2,CHEMBL1201746,"HsDHFR (H. sapiens); PfDHFR-TS K1 (P. falciparum, resistant)",True,1,c1ccc(CCc2cnc3ncncc3n2)cc1,train
C#CCN(CC1CCc2nc(N)nc(N)c2C1)c1cc(OC)c(OC)c(OC)c1,7.525822863315346,0.43271775081589464,6,CHEMBL120821,"RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,c1ccc(NCC2CCc3ncncc3C2)cc1,train
C#CCN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.275724130399212,,1,CHEMBL141648,HsDHFR (H. sapiens),False,1,c1ccc(CNc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(O)c2c1,5.522878745280337,,1,CHEMBL141857,HsDHFR (H. sapiens),False,0,c1ccc(CNc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,6.2037450760496595,0.9199595543972484,16,CHEMBL422395,"HsDHFR (H. sapiens); MmDHFR (M. musculus); RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,O=c1nc[nH]c2ccc(CNc3ccccc3)cc12,train
C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.475779098224797,0.7626571116438509,8,CHEMBL389051,"HsDHFR (H. sapiens); RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,O=c1nc[nH]c2ccc(CNc3ccccc3)cc12,train
C#CCN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(=O)C(F)(F)F)cc1,7.696272488392665,0.6062256219581418,2,CHEMBL53872,"RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,c1ccc(NCc2ccc3ncncc3n2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(C)=O)cc1,7.761439372640169,0.08834502788860882,2,CHEMBL52953,"RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,c1ccc(NCc2ccc3ncncc3n2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,5.522878745280337,,1,CHEMBL357672,MmDHFR (M. musculus),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C#N)cc1,4.176525770829699,,1,CHEMBL62675,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)C(F)(F)F)cc1,4.991399828238082,,1,CHEMBL304407,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)c(C)c1,4.6020599913279625,,1,CHEMBL342302,MmDHFR (M. musculus),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)c(Cl)c1,4.958607314841775,,1,CHEMBL141546,MmDHFR (M. musculus),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,5.522878745280337,,1,CHEMBL141601,MmDHFR (M. musculus),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(C)=O)cc1,4.428291168191312,,1,CHEMBL62599,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(N)=O)cc1,4.139063379299906,,1,CHEMBL417562,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(S(=O)(=O)N(C)C)cc1,4.692503962086787,,1,CHEMBL302669,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc([N+](=O)[O-])cc1,4.645891560852599,,1,CHEMBL62769,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2nc[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.647817481888637,,1,CHEMBL103059,RnDHFR (R. norvegicus),False,0,O=c1[nH]cnc2ccc(CNc3ccccc3)cc12,train
C#CCN(Cc1ccc2ncnc(O)c2c1)c1cc(OC)c(OC)c(OC)c1,4.176525770829699,,1,CHEMBL433059,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2ncnc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,5.40135972093719,0.3485439080896427,2,CHEMBL171480,HsDHFR (H. sapiens); RnDHFR (R. norvegicus),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1ccc2ncnc(O)c2c1)c1ccc(C(C)=O)cc1,4.0,,1,CHEMBL64215,HsDHFR (H. sapiens),False,0,c1ccc(NCc2ccc3ncncc3c2)cc1,train
C#CCN(Cc1cnc2nc(N)nc(N)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,11.232844133917819,,1,CHEMBL114733,MmDHFR (M. musculus),False,1,c1ccc(NCc2cnc3ncncc3c2)cc1,train
C#CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1,8.020813633760696,0.10154298718940102,6,CHEMBL49454,"RnDHFR (R. norvegicus); TgDHFR-TS (T. gondii, apicomplexan)",False,1,c1ccc(NCc2cnc3ncncc3c2)cc1,train
C#CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,11.16304326294045,,1,CHEMBL112061,MmDHFR (M. musculus),False,1,c1ccc(NCc2cnc3ncncc3c2)cc1,train
C#CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCC(C(=O)OC)CC2)cc1,4.107905397309519,,1,CHEMBL5193564,HsDHFR (H. sapiens),False,0,O=C(c1ccc(NCc2cnc3ncncc3n2)cc1)N1CCCCC1,train
C#CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,9.301029995663981,,1,CHEMBL166915,MmDHFR (M. musculus),False,1,c1ccc(NCc2cnc3ncncc3n2)cc1,external
C#CCN(Cc1nc2cc(C(F)(F)F)ccc2nc1-c1ccccc1)c1cc(OC)c(OC)c(OC)c1,5.3979400086720375,,1,CHEMBL3121455,HsDHFR (H. sapiens),False,0,c1ccc(NCc2nc3ccccc3nc2-c2ccccc2)cc1,train
C#CCN(Cc1nc2cc(C(F)(F)F)ccc2nc1-c1ccccc1)c1ccc(C)cc1,5.221848749616356,,1,CHEMBL3121447,HsDHFR (H. sapiens),False,0,c1ccc(NCc2nc3ccccc3nc2-c2ccccc2)cc1,train
C#CCN(Cc1nc2cc(C(F)(F)F)ccc2nc1-c1ccccc1)c1ccc(CC(=O)OCC)cc1,5.522878745280337,,1,CHEMBL3121457,HsDHFR (H. sapiens),False,0,c1ccc(NCc2nc3ccccc3nc2-c2ccccc2)cc1,train
C#CCN(Cc1nc2cc(C(F)(F)F)ccc2nc1-c1ccccc1)c1ccc(Cl)cc1,5.3979400086720375,,1,CHEMBL3121449,HsDHFR (H. sapiens),False,0,c1ccc(NCc2nc3ccccc3nc2-c2ccccc2)cc1,train
