assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769665,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,330.0,CHEMBL1939,IC50,uM,0.33,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,50.0,CHEMBL1939,IC50,uM,0.05,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,10160.0,CHEMBL1939,IC50,uM,10.16,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,70.0,CHEMBL1939,IC50,uM,0.07,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,3400.0,CHEMBL1939,IC50,uM,3.4,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL416373,IC50,nM,15910.0,CHEMBL1939,IC50,uM,15.91,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,17480.0,CHEMBL1939,IC50,uM,17.48,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,2620.0,CHEMBL1939,IC50,uM,2.62,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,3830.0,CHEMBL1939,IC50,uM,3.83,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,5730.0,CHEMBL1939,IC50,uM,5.73,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,50.0,CHEMBL1939,IC50,uM,0.05,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769668,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,IC50,nM,250.0,CHEMBL1939,IC50,uM,0.25,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL811758,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,CHEMBL29773,IC50,nM,9.3,CHEMBL1939,IC50,nM,9.3,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL811757,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,CHEMBL29773,IC50,nM,73.0,CHEMBL1939,IC50,nM,73.0,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,3120.0,CHEMBL1939,IC50,uM,3.12,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,470.0,CHEMBL1939,IC50,uM,0.47,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,14580.0,CHEMBL1939,IC50,uM,14.58,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,110.0,CHEMBL1939,IC50,uM,0.11,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,6750.0,CHEMBL1939,IC50,uM,6.75,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,CHEMBL22138,IC50,nM,60.0,CHEMBL1939,IC50,uM,0.06,"PfDHFR-TS K1 (P. falciparum, resistant)"
