dock_id,identifier,canonical_smiles,p_active,is_african_np,vina_score_1,vina_score_2,vina_score_3,n_modes,dock_time_s,dock_ok,out_pdbqt,docking_rank
CNP0286261_0,CNP0286261.0,O=C(CCc1ccccc1)c1c(O)c(Cc2ccccc2O)c2c(c1O)Cc1ccccc1O2,0.3551688316268946,True,-11.86,-11.21,-11.0,9,38.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0286261_0_out.pdbqt,1
CNP0275186_1,CNP0275186.1,CC(C)C1=CC2=CC=C3[C@@](C)(COC(=O)c4ccc(O)c(O)c4)CCC[C@]3(C)C2=C(O)C1=O,0.3283793219595414,True,-11.13,-10.38,-10.32,9,39.7,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0275186_1_out.pdbqt,2
CNP0319845_2,CNP0319845.2,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,0.3006177897144911,True,-10.96,-9.446,-7.989,9,9.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0319845_2_out.pdbqt,3
CNP0110434_2,CNP0110434.2,CC(C)C1=CC2=CC=C3C(C)(C)[C@H](OC(=O)c4ccccc4)CC[C@]3(C)C2=C(O)C1=O,0.412078111672354,True,-10.93,-10.08,-9.565,9,27.7,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0110434_2_out.pdbqt,4
CNP0346362_1,CNP0346362.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc2c1OC(C)(C)CC2,0.3025321141157355,True,-10.89,-10.25,-10.24,9,18.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346362_1_out.pdbqt,5
CNP0346376_1,CNP0346376.1,CC(C)C1=CC2=CC=C3C(C)(C)[C@@H](OC(=O)c4ccccc4)CC[C@]3(C)[C@@H]2C(=O)C1=O,0.4393087380618551,True,-10.69,-10.42,-9.458,9,25.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346376_1_out.pdbqt,6
CNP0329927_1,CNP0329927.1,CCN1CC[C@H]2c3ccccc3N[C@@H]2[C@H]1CCCc1nccc2c3cc(O)ccc3n(C)c12,0.3116379032965277,True,-10.64,-10.53,-10.07,9,25.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0329927_1_out.pdbqt,7
CNP0332712_1,CNP0332712.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)CC2,0.3044380627780244,True,-10.47,-10.27,-10.17,9,14.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0332712_1_out.pdbqt,8
CNP0309710_3,CNP0309710.3,CC(C)C1=CC2=CC=C3C(C)(C)C[C@@H](OC(=O)c4ccc(O)cc4)C[C@]3(C)C2=C(O)C1=O,0.344451740613545,True,-10.43,-10.09,-10.05,9,25.7,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0309710_3_out.pdbqt,9
CNP0242596_0,CNP0242596.0,Cn1c2c3c(nc-2c(-c2c4nc5ccccc5c-4n(C)c4ccccc24)c2ccccc21)CC=CC3,0.3226138640341636,True,-10.42,-9.618,-9.372,9,22.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0242596_0_out.pdbqt,10
CNP0169966_0,CNP0169966.0,COc1c(Cc2ccccc2O)c(O)c(Cc2ccccc2O)c(O)c1C(=O)CCc1ccccc1,0.3445210318085917,True,-10.3,-10.25,-10.2,9,56.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0169966_0_out.pdbqt,11
CNP0205047_1,CNP0205047.1,CC(C)C1=CC2=CC=C3[C@@](C)(COC(=O)c4ccc(O)cc4)CCC[C@]3(C)C2=C(O)C1=O,0.3410590220807744,True,-10.25,-10.03,-9.848,9,28.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0205047_1_out.pdbqt,12
CNP0240666_2,CNP0240666.2,CC(C)C1=CC2=CC=C3C(C)(C)C[C@@H](OC(=O)c4ccc(O)c(O)c4)C[C@]3(C)C2=C(O)C1=O,0.3324781926651164,True,-10.23,-10.2,-10.1,9,27.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0240666_2_out.pdbqt,13
CNP0309861_3,CNP0309861.3,O=C1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@H]43)OCO7,0.3042257564460611,True,-10.21,-10.15,-9.354,9,4.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0309861_3_out.pdbqt,14
CNP0163201_1,CNP0163201.1,CC(=O)O[C@@]1(C)CC(=O)c2c(cc3cc(OC/C=C(\C)CCC=C(C)C)cc(O)c3c2O)C1,0.3265329996976595,True,-10.18,-9.999,-9.712,9,39.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0163201_1_out.pdbqt,15
CNP0215695_1,CNP0215695.1,CC(C)C1=CC2=CC=C3C(C)(C)[C@@H](OC(=O)c4ccccc4)CC[C@]3(C)C2=C(O)[C@H]1O,0.4268048042090845,True,-10.18,-9.92,-9.488,9,29.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0215695_1_out.pdbqt,16
CNP0201740_1,CNP0201740.1,CC(C)C1=CC2=CC=C3C(C)(C)[C@@H](OC(=O)/C=C/c4ccccc4)CC[C@]3(C)C2=C(O)C1=O,0.3841195299041936,True,-10.15,-10.01,-9.765,9,20.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0201740_1_out.pdbqt,17
CNP0178940_1,CNP0178940.1,COc1ccc([C@H](CC(=O)O)NC(=O)COc2cc(O)c3c(c2)OC(C)(C)CC3=O)cc1OC,0.5075299317038745,False,-10.13,-9.446,-9.163,9,60.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0178940_1_out.pdbqt,18
CNP0539885_2,CNP0539885.2,N=c1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,0.6154869783565208,False,-10.03,-9.479,-9.277,9,83.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0539885_2_out.pdbqt,19
CNP0341387_1,CNP0341387.1,CC(C)=CC(=O)OC[C@@]1(C)CCC[C@@]2(C)C1=CC=C1C=C(C(C)C)C(=O)C(O)=C12,0.3410267777911708,True,-10.02,-9.424,-9.229,9,22.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0341387_1_out.pdbqt,20
CNP0333434_0,CNP0333434.0,COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2,0.3025221207467304,True,-9.981,-9.439,-9.118,9,9.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0333434_0_out.pdbqt,21
CNP0322154_1,CNP0322154.1,COc1cc2c(cc1[C@@H]1Cc3cc4ccoc4cc3OC1=O)OCO2,0.3553130788314134,True,-9.974,-8.956,-8.802,9,9.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0322154_1_out.pdbqt,22
CNP0346491_0,CNP0346491.0,c1c2c(c3c4c1CCNc4cc1cc4c(cc13)OCO4)OCO2,0.3317648807687035,True,-9.963,-9.775,-9.257,9,4.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346491_0_out.pdbqt,23
CNP0209180_2,CNP0209180.2,CNc1cc2c3ccccc3nc(C(=O)N[C@H](CCC(=O)O)C(=O)C=C(C)C)c2n(C)c1=O,0.5624619969437588,False,-9.962,-9.554,-8.918,9,53.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0209180_2_out.pdbqt,24
CNP0525275_1,CNP0525275.1,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C[C@H]1CN2,0.638816234085922,False,-9.952,-9.23,-9.176,9,48.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0525275_1_out.pdbqt,25
CNP0506781_1,CNP0506781.1,Nc1nc2c(c(=O)[nH]1)N1C=[N+](c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C[C@H]1CN2,0.6434293435409146,False,-9.938,-9.089,-8.973,9,47.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0506781_1_out.pdbqt,26
CNP0589112_0,CNP0589112.0,N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.7010791068021947,False,-9.891,-9.116,-8.889,9,96.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0589112_0_out.pdbqt,27
CNP0437490_1,CNP0437490.1,N=C1N=C(O)C2=N[C@@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CNC2=N1,0.6311309550226892,False,-9.875,-9.508,-9.487,9,63.0,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0437490_1_out.pdbqt,28
CNP0463181_1,CNP0463181.1,CC(=O)c1cccc(O[C@H]2C=C(C(=O)N[C@@H](Cc3ccc(O)cc3)C(N)=O)C[C@@H](O)[C@H]2O)c1,0.5063573513897375,False,-9.867,-9.837,-9.684,9,73.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0463181_1_out.pdbqt,29
CNP0346382_1,CNP0346382.1,COc1cc2c(cc1[C@@H]1C(=O)Oc3cc4occc4cc3C1=O)OCO2,0.4072062482781165,True,-9.836,-9.55,-9.49,9,17.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346382_1_out.pdbqt,30
CNP0564846_2,CNP0564846.2,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.6441110089776562,False,-9.81,-9.498,-9.258,9,77.0,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0564846_2_out.pdbqt,31
CNP0206997_4,CNP0206997.4,CC(=O)O[C@@H]1C(=O)C2=C(C(=O)C[C@@H]3C(C)(C)C(=O)CC[C@]23C)[C@]2(C)C(=O)C[C@H]([C@H](C)CCC(=O)O)[C@@]12C,0.50449755313324,False,-9.803,-7.912,-6.694,9,40.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0206997_4_out.pdbqt,32
CNP0576794_1,CNP0576794.1,CC(C)=CCc1cccc2nc3cccc(C(=O)N[C@@H](CCC(N)=O)C(=O)O)c3nc12,0.547184592307156,False,-9.774,-9.589,-9.454,9,35.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0576794_1_out.pdbqt,33
CNP0127038_1,CNP0127038.1,CC(=O)N[C@H](CC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,0.5296116408510596,False,-9.755,-9.43,-9.283,9,131.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0127038_1_out.pdbqt,34
CNP0372658_2,CNP0372658.2,C[C@]12CC[C@@H]3[C@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.6262697820611963,False,-9.743,-9.515,-9.444,9,106.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0372658_2_out.pdbqt,35
CNP0342966_2,CNP0342966.2,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.6816537553033996,False,-9.731,-9.143,-9.026,9,69.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0342966_2_out.pdbqt,36
CNP0528472_2,CNP0528472.2,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.5883823687741864,False,-9.699,-9.128,-8.974,9,82.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0528472_2_out.pdbqt,37
CNP0481747_1,CNP0481747.1,Nc1nc(=O)c2c([nH]1)NC[C@@H]1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C=[N+]21,0.6398538933121333,False,-9.666,-9.334,-8.947,9,47.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0481747_1_out.pdbqt,38
CNP0246819_1,CNP0246819.1,COc1cc2c(cc1OC)[C@@H]1C(=O)c3cc4ccoc4cc3O[C@H]1CC2,0.4062590047665009,True,-9.664,-9.124,-8.878,9,6.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0246819_1_out.pdbqt,39
CNP0387276_2,CNP0387276.2,CC(C)(C)OC(=O)CC[C@@H](NC(=O)OC(C)(C)C)C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.5561508788485662,False,-9.651,-9.371,-9.343,9,149.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0387276_2_out.pdbqt,40
CNP0167652_5,CNP0167652.5,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1,0.4715022895757718,True,-9.646,-9.496,-9.48,9,63.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0167652_5_out.pdbqt,41
CNP0535059_2,CNP0535059.2,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.6696493772361276,False,-9.621,-9.581,-8.908,9,61.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0535059_2_out.pdbqt,42
CNP0544953_1,CNP0544953.1,N=C1N=C(O)C2=[N+](C=O)[C@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CNC2=N1,0.6277247727834001,False,-9.592,-9.385,-9.338,9,95.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0544953_1_out.pdbqt,43
CNP0477797_2,CNP0477797.2,C[C@@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@H]3C(=O)C[C@@H]4CCCC[C@]4(C)[C@@H]3CC[C@@]21C,0.5139554574897772,False,-9.587,-8.466,-8.24,9,23.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0477797_2_out.pdbqt,44
CNP0074723_1,CNP0074723.1,CN1c2c([nH]c(N)nc2=O)NCC1CCNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.6517807925795331,False,-9.583,-9.123,-9.113,9,76.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0074723_1_out.pdbqt,45
CNP0218498_4,CNP0218498.4,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)N2C=O,0.5624452526925735,False,-9.565,-9.334,-8.966,9,97.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0218498_4_out.pdbqt,46
