np_id,pref_name,smiles_npass,inchikey_npass,source_species,source_family,collection_location,dhfr_activity_type,dhfr_activity_value,dhfr_activity_units,dhfr_assay_organism,is_plasmodium_dhfr,mw,logp,hbd,hba,tpsa,qed,lipinski_pass,is_african_np
NPC476464,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)Cl,WHTVZRBIWZFKQO-UHFFFAOYSA-N,Acronychia pubescens; Albizia grandibracteata; Ancistrocladus abbreviatus; Ancistrocladus ealaensis; Ancistrocladus ileboensis; Artemisia annua; Bowdichia virgilioides; Caldora penicillata; Chamaemelum nobile; Cinchona calisaya; Cleistochlamys kirkii; Codiaeum peltatum; Cordia lutea; Corymbia torelliana; Crinum amabile; Cryptolepis sanguinolenta; Cussonia zimmermannii; Eremophila microtheca; Escherichia coli; Euphorbia pithyusa; Flindersia pimenteliana; Heterospora chenopodii; Hymenocardia acida; Ircinia oros; Lasionectria sp.; Miliusa cuneata; Millettia usaramensis; Orthoscuticella ventricosa; Photorhabdus temperata; Picralima nitida; Pseudopestalotiopsis theae; Salvia hydrangea; Salvia leriifolia; Sphaerocoryne gracilis; Strychnos icaja; Tabernaemontana corymbosa; Tephrosia rhodesica; Vernonia brachycalyx; Xenorhabdus nematophila; Ziziphus oxyphylla; n.a.,Amaryllidaceae; Ancistrocladaceae; Annonaceae; Apocynaceae; Araliaceae; Asteraceae; Catenicellidae; Cordiaceae; Enterobacteriaceae; Euphorbiaceae; Fabaceae; Irciniidae; Lamiaceae; Leptosphaeriaceae; Loganiaceae; Morganellaceae; Myrtaceae; Nectriaceae; Oscillatoriaceae; Petrosiidae; Phyllanthaceae; Pseudoceratinidae; Rhamnaceae; Rubiaceae; Rutaceae; Scrophulariaceae; Sporocadaceae; Streptomycetaceae; n.a.,n.a.,IC50,0.01,ug.mL-1,Bos taurus,False,319.88,4.810600000000004,1.0,3.0,28.16,0.7564117572128701,True,False
NPC139867,Mitomycin,CC1=C(C(=O)C2=C(C1=O)N1C[C@H]3[C@@H]([C@@]1([C@@H]2COC(=N)O)OC)N3)N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,Cedrus deodara; Eupatorium chinense; Inula racemosa; Micromonospora yangpuensis; Scoparia dulcis; n.a.,Asteraceae; Micromonosporaceae; Pinaceae; Plantaginaceae; Xeniidae; n.a.,n.a.,Log 1/C,7.11,n.a.,n.a.,False,334.332,-1.2371299999999972,4.0,8.0,147.88000000000002,0.21679072663368362,True,False
NPC107160,Sodium Beta-Nicotinamide Adenine Dinucleotide Phosphate,c1cc(c[n+](c1)[C@H]1[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@H](n3cnc4c(N)ncnc34)O2)OP(=O)(O)O)O)O1)O)O)C(=N)O,XJLXINKUBYWONI-NNYOXOHSSA-N,Bombyx mori,Bombycidae,n.a.,k_off,3.5,s-1,Escherichia coli,False,743.4090000000007,-2.746429999999996,9.0,19.0,368.61000000000007,0.037067612413854305,False,False
NPC3371,Hippuric Acid,c1ccc(cc1)C(=NCC(=O)O)O,QIAFMBKCNZACKA-UHFFFAOYSA-N,Homo sapiens,Hominidae,blood; blood serum; breast milk; cerebrospinal fluid; n.a.; saliva; urine,Ki,17000000.0,nM,Homo sapiens,False,179.17499999999998,1.0757999999999999,2.0,2.0,69.89,0.5383376200156325,True,False
NPC149155,D-Tryptophan,c1ccc2c(c1)c(C[C@H](C(=O)O)N)c[nH]2,QIVBCDIJIAJPQS-SECBINFHSA-N,Allium chinense; Allium macrostemon; Allium sativum; Brassica juncea; Calvatia fenzlii; Calvatia gigantea ; Ginkgo biloba; Glycine max; Hedysarum polybotrys; Humulus lupulus; Nelumbo nucifera; Perilla frutescens; Persicaria orientalis; Pinellia ternata; Sinapis alba; n.a.,Amaryllidaceae; Araceae; Brassicaceae; Cannabaceae; Fabaceae; Ginkgoaceae; Lamiaceae; Lycoperdaceae; Nelumbonaceae; Polygonaceae,n.a.,Ki,880000.0,nM,Homo sapiens,False,204.22899999999998,1.1222999999999996,3.0,2.0,79.10999999999999,0.7005840997557369,True,False
NPC106780,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)n1ccc(nc1=O)O,MXHRCPNRJAMMIM-SHYZEUOFSA-N,Escherichia coli; Euryale ferox; Ganoderma lucidum; Ganoderma sinense; Ginkgo biloba; Homo sapiens; Mus musculus; Ophiocordyceps sinensis; Phoebe zhennan; Saccharomyces cerevisiae; n.a.,Enterobacteriaceae; Ganodermataceae; Ginkgoaceae; Hominidae; Lauraceae; Muridae; Nymphaeaceae; Ophiocordycipitaceae; Saccharomycetaceae; Spongiidae; n.a.,blood; cerebrospinal fluid; n.a.; urine,Inhibition,-5.3,%,Cryptosporidium hominis,False,228.20399999999998,-1.4104000000000003,3.0,7.0,104.80999999999999,0.5740644161458605,True,False
NPC66191,Dactinomycin,CC(C)[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C)[C@@H](C(=N1)O)N=C(c1ccc(C)c2c1nc1-c(c(C)c(=O)c(c1C(=N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]3CCCN3C(=O)[C@@H](C(C)C)N=C1O)O)N)o2)O,RJURFGZVJUQBHK-IIXSONLDSA-N,Streptomyces fradiae; n.a.,Streptomycetaceae; n.a.,Alaska; n.a.,Log 1/C,7.75,n.a.,n.a.,False,1255.4379999999996,3.555840000000014,5.0,18.0,373.94000000000005,0.07074521586407054,False,False
NPC292452,Oxyresveratrol,Oc1ccc(c(c1)O)/C=C/c1cc(O)cc(c1)O,PDHAOJSHSJQANO-OWOJBTEDSA-N,Alpinia oxyphylla; Artocarpus dadah; Artocarpus lakoocha; Morus alba; Paeonia lactiflora; Paeonia rockii; Sagenomella striatispora; Smilax china; Smilax glabra; Veratrum grandiflorum; n.a.; veratrum grandiflo,Clusiaceae; Melanthiaceae; Moraceae; Paeoniaceae; Rubiaceae; Smilacaceae; Trichocomaceae; Zingiberaceae; n.a.,"BoZhou, AnHui, China; Chungbuk, Korea; DingXi, GanSu, China; HeZe, ShanDong, China; LanZhou, GanSu, China; LuoYang, HeNan, China; ShangLuo, ShanXi, China; ShuYang, JiangSu, China; Tewah, Central Kalimantan, Indonesia (N 38 57.003; W 094 44.767); TongLing, AnHui, China; WeiNan, ShanXi, China; WuHan, HuBei, China; n.a.",Ki,31480.0,nM,Escherichia coli,False,244.246,2.6794000000000007,4.0,4.0,80.92,0.6121183100624945,True,False
NPC274455,Ibuprofen,CC(Cc1ccc(cc1)C(C(=O)O)C)C,HEFNNWSXXWATRW-UHFFFAOYSA-N,Artemisia argyi; Artemisia montana; Artemisia princeps; Homo sapiens; Hoya kerrii; Olea europaea; Paulownia tomentosa; Plantago major; Prangos haussknechtii; Rhododendron molle; Syzygium aromaticum; Tephrosia linearis,Apiaceae; Apocynaceae; Asteraceae; Ericaceae; Fabaceae; Hominidae; Myrtaceae; Oleaceae; Paulowniaceae; Plantaginaceae,blood; cerebrospinal fluid; n.a.,Ki,560000.0,nM,Homo sapiens,False,206.28499999999997,3.073200000000001,1.0,1.0,37.3,0.8215995486924975,True,False
NPC235628,"(Z)-3-(4-Hydroxy-3,5-Dimethoxybenzylidene)Indolin-2-One",COc1cc(/C=C/2\C(=Nc3c2cccc3)O)cc(c1O)OC,YSERLISPSDGHNH-GHXNOFRVSA-N,isatis indigotica ,Brassicaceae,n.a.,K,1.3,10'7/M,n.a.,False,297.31000000000006,3.5516000000000023,2.0,4.0,71.28,0.9084707198939798,True,False
