np_id,inchi,inchikey_npass,smiles_npass,pref_name,iupac_name,chembl_id,pubchem_id,num_of_organism,num_of_target,source_species,source_genus,source_family,source_kingdom,source_org_name,collection_location,n_source_organisms,dhfr_activity_type,dhfr_activity_value,dhfr_activity_units,dhfr_activity_relation,dhfr_assay_organism,has_npass_dhfr_activity,source_database,mw,logp,hbd,hba,tpsa,rot_bonds,qed,n_rings,n_aromatic_rings,lipinski_pass,inchikey_14,is_african_np
NPC81384,"InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/t8-/m1/s1",SUHOQUVVVLNYQR-MRVPVSSYSA-N,OC[C@H](COP(=O)(OCC[N+](C)(C)C)[O-])O,Choline Alfoscerate,"[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",CHEMBL1567463,657272,9,67,Escherichia coli; Homo sapiens; Mus musculus; Saccharomyces cerevisiae,Escherichia; Homo; Mus; Saccharomyces,Enterobacteriaceae; Hominidae; Muridae; Saccharomycetaceae,Fungi; Metazoa; n.a.,Escherichia coli; Homo sapiens; Mus musculus; Saccharomyces cerevisiae,blood; breast milk; cerebrospinal fluid; n.a.; saliva; semen,4,,,,,,False,NPASS,257.22299999999996,-1.452599999999998,2.0,6.0,99.05000000000001,8.0,0.4073945988300894,0.0,0.0,True,SUHOQUVVVLNYQR,False
NPC109991,"InChI=1S/C24H21NO5/c1-3-13(2)21(24(29)30)25-12-15-11-18(26)22(27)20-16(14-7-5-4-6-8-14)9-10-17(19(15)20)23(25)28/h4-13,21,26H,3H2,1-2H3,(H,29,30)/t13-,21+/m0/s1",RVOHRYJJXCFNQS-YEJXKQKISA-N,CC[C@H](C)[C@H](C(=O)O)n1cc2C=C(C(=O)c3c(ccc(c23)c1=O)c1ccccc1)O,RVOHRYJJXCFNQS-YEJXKQKISA-N,n.a.,n.a.,n.a.,6,0,Terminalia catappa,Terminalia,Combretaceae,Viridiplantae,Terminalia catappa,n.a.,6,,,,,,False,NPASS,403.4340000000001,4.435500000000003,2.0,5.0,96.60000000000001,5.0,0.6566585596392601,4.0,3.0,True,RVOHRYJJXCFNQS,False
NPC4649,"InChI=1S/C20H20O7/c1-5-6-14(22)26-19-18(24-11(2)21)16-13(27-20(19,3)4)9-7-12-8-10-15(23)25-17(12)16/h5-10,18-19H,1-4H3/b6-5+/t18-,19-/m0/s1",MHLKYRDXNNGAMX-WLMAVBAVSA-N,C/C=C/C(=O)O[C@H]1[C@H](c2c(ccc3ccc(=O)oc23)OC1(C)C)OC(=O)C,MHLKYRDXNNGAMX-WLMAVBAVSA-N,n.a.,n.a.,5320691,1,0,Peucedanum praeruptorum,Peucedanum,Apiaceae,Viridiplantae,Peucedanum praeruptorum,n.a.,1,,,,,,False,NPASS,372.37300000000016,3.0561000000000016,0.0,7.0,92.04000000000002,3.0,0.4643702639735138,3.0,2.0,True,MHLKYRDXNNGAMX,False
NPC90844,"InChI=1S/C23H25NO3/c1-25-15-6-7-16-18(10-15)20-12-23(27-3)22(26-2)11-19(20)17-9-14-5-4-8-24(14)13-21(16)17/h6-7,10-12,14H,4-5,8-9,13H2,1-3H3/t14-/m0/s1",NCVWJDISIZHFQS-AWEZNQCLSA-N,COc1ccc2c(c1)c1cc(c(cc1c1C[C@@H]3CCCN3Cc21)OC)OC,Hypoestestatin 1,"(13aS)-2,3,6-trimethoxy-9,11,12,13,13a,14-hexahydrophenanthro[9,10-f]indolizine",CHEMBL483423,12019847,1,4,Vincetoxicum pycnostelma,Vincetoxicum,Apocynaceae,Viridiplantae,Vincetoxicum pycnostelma,n.a.,1,,,,,,False,NPASS,363.45700000000016,4.539300000000004,0.0,4.0,30.930000000000003,3.0,0.6394713005283346,5.0,3.0,True,NCVWJDISIZHFQS,False
NPC18064,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h10,19-24,31H,8-9,11-17H2,1-7H3,(H,32,33)/t19-,20-,21+,22-,23+,24-,27+,28-,29-,30+/m1/s1",HNJKFVJZKCXLRL-SILQXMKOSA-N,CC1=CC[C@]2([C@H]([C@@H]1C)[C@H]1CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O,"3Beta-Hydroxy-18Alpha,19Alpha-Urs-20-En-28-Oic Acid","(1S,4aR,6aR,6aR,6bR,8aR,10S,12aR,14aR,14bR)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-4,5,6,6a,7,8,8a,10,11,12,13,14,14a,14b-tetradecahydro-1H-picene-4a-carboxylic acid",CHEMBL517086,44575399,2,7,Calyptranthes pallens; Syzygium nervosum,Calyptranthes; Syzygium,Myrtaceae,Viridiplantae,Calyptranthes pallens; Syzygium nervosum,Southern Florida; n.a.,2,,,,,,False,NPASS,456.71100000000024,7.089500000000008,2.0,2.0,57.53,1.0,0.4141086905846976,5.0,0.0,True,HNJKFVJZKCXLRL,False
NPC212965,"InChI=1S/C22H30O3/c1-16(7-5-8-17(2)15-23)9-6-11-22(4)12-10-19-20(24)13-18(3)14-21(19)25-22/h8-10,12-14,23-24H,5-7,11,15H2,1-4H3/b16-9+,17-8+/t22-/m1/s1",MYAKCCHNPIRCLY-PSMGVCQDSA-N,OC/C(=C/CC/C(=C/CC[C@]1(C)C=Cc2c(O1)cc(cc2O)C)/C)/C,Daurichromene D,"(2R)-2-[(3E,7E)-9-hydroxy-4,8-dimethylnona-3,7-dienyl]-2,7-dimethylchromen-5-ol",CHEMBL487803,10427504,3,1,Rhododendron dauricum,Rhododendron,Ericaceae,Viridiplantae,Rhododendron dauricum,n.a.,1,,,,,,False,NPASS,342.4790000000001,5.310220000000006,2.0,3.0,49.69,7.0,0.6602059058114057,2.0,1.0,True,MYAKCCHNPIRCLY,False
NPC81135,"InChI=1S/C15H14O5/c1-15(2,19)14-12(18)9-10(16)7-5-3-4-6-8(7)11(17)13(9)20-14/h3-6,12,14,18-19H,1-2H3/t12-,14-/m0/s1",AAULQOBOWPLXLU-JSGCOSHPSA-N,O=C1c2ccccc2C(=O)C2=C1O[C@@H]([C@H]2O)C(O)(C)C,Avicequinone A,"(2S,3S)-3-hydroxy-2-(2-hydroxypropan-2-yl)-2,3-dihydrobenzo[f][1]benzofuran-4,9-dione",CHEMBL375700,16757531,1,7,Avicennia marina,Avicennia,Acanthaceae,Viridiplantae,Avicennia marina,n.a.,1,,,,,,False,NPASS,274.272,0.8503000000000001,2.0,5.0,83.83000000000001,1.0,0.7928593117506447,3.0,1.0,True,AAULQOBOWPLXLU,False
NPC483076,"InChI=1S/C31H48O5/c1-18(2)12-11-15-30(10)21(14-13-19(3)4)17-29(9)26-22(16-23(36-26)28(7,8)35)25(33)31(30,27(29)34)24(32)20(5)6/h13,18,20-21,23,35H,11-12,14-17H2,1-10H3/t21-,23+,29+,30+,31-/m0/s1",JZXCMDTZJYOYJA-DVXSWTTMSA-N,CC(C)CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(C)C3=C(C[C@H](C(C)(C)O)O3)C(=O)[C@@]1(C(=O)C(C)C)C2=O,JZXCMDTZJYOYJA-DVXSWTTMSA-N,n.a.,n.a.,134139360,1,1,Hypericum scabrum,Hypericum,Hypericaceae,Viridiplantae,Hypericum scabrum,n.a.,1,,,,,,False,NPASS,500.7200000000003,6.378700000000008,1.0,5.0,80.67,9.0,0.2934666088473114,3.0,0.0,True,JZXCMDTZJYOYJA,False
NPC194055,"InChI=1S/C10H10O3/c1-2-9(11)7-5-3-4-6-8-10(12)13/h6,8-9,11H,2H2,1H3,(H,12,13)/b8-6-/t9-/m1/s1",CRRZPEMJSQSTDV-JGAIRUGNSA-N,CC[C@H](C#CC#C/C=C\C(=O)O)O,CRRZPEMJSQSTDV-JGAIRUGNSA-N,n.a.,n.a.,n.a.,10,0,Caesalpinia minax; Camptotheca acuminata; Hypericum erectum,Caesalpinia; Camptotheca; Hypericum,Fabaceae; Hypericaceae; Nyssaceae,Viridiplantae,Caesalpinia minax; Camptotheca acuminata; Hypericum erectum,n.a.,10,,,,,,False,NPASS,178.18699999999998,0.40489999999999987,2.0,2.0,57.53,2.0,0.47519195792856683,0.0,0.0,True,CRRZPEMJSQSTDV,False
NPC488668,"InChI=1S/C16H17ClO6/c1-10(18)23-12-7-8-13(17)16(21,14(12)19)9-22-15(20)11-5-3-2-4-6-11/h2-8,12-14,19,21H,9H2,1H3/t12-,13-,14+,16+/m0/s1",YEEMXVYHDPMVQJ-TTZDDIAXSA-N,CC(=O)O[C@H]1C=C[C@@H]([C@](COC(=O)c2ccccc2)([C@@H]1O)O)Cl,YEEMXVYHDPMVQJ-TTZDDIAXSA-N,n.a.,n.a.,n.a.,1,2,Cleistochlamys kirkii,Cleistochlamys,Annonaceae,Viridiplantae,Cleistochlamys kirkii,n.a.,1,,,,,,False,NPASS,340.759,1.0442999999999998,2.0,6.0,93.06,4.0,0.48318145048182737,2.0,1.0,True,YEEMXVYHDPMVQJ,False
