identifier,canonical_smiles,standard_inchi_key,name_coconut,iupac_name_coconut,molecular_formula,mw_coconut,alogp,tpsa_coconut,hba_coconut,hbd_coconut,rot_bonds_coconut,qed_drug_likeliness,lipinski_violations,aromatic_rings,frac_csp3,np_likeness_num,np_classifier_pathway,np_classifier_superclass,np_classifier_class,chemical_class,chemical_superclass,direct_parent,organisms,collections,contains_sugar,contains_ring_sugars,dois,source_database,is_african_np,lipinski_pass,inchikey_14,npass_np_id,in_npass,p_active,african_rank
CNP0346537.1,C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@@H]2OC3CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,YWAZOJRWTMJJFP-ZCHHLLEBSA-N,,"4-[[(1~{R},4~{S},5~{R},8~{S},9~{R},10~{R},12~{R},13~{R})-5,9-dimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0^{4,13}.0^{8,13}]hexadecan-10-yl]oxy]-4-oxo-butanoic acid",C18H26O8,370.4,2.21,100.52,7,1,4,0.59,0,0,0.89,2.8,Terpenoids,Sesquiterpenoids,Arteminisin,Prenol lipids,Lipids and lipid-like molecules,Artemisinins,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,YWAZOJRWTMJJFP,,False,0.4745394544637117,1
CNP0167652.5,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1,VZPAURMDJZOGHU-LOSJGSFVSA-N,Aurantiamide acetate,[(2~{S})-2-[[(2~{R})-2-benzamido-3-phenyl-propanoyl]amino]-3-phenyl-propyl] acetate,C27H28N2O4,444.53,3.32,84.5,4,2,10,0.47,0,3,0.22,0.01,Amino acids and Peptides,Small peptides,Dipeptides,Carboxylic acids and derivatives,Organic acids and derivatives,Phenylalanine and derivatives,Acanthophora spicifera|Croton hieronymi|Orthosiphon stamineus|Pierreodendron kerstingii Little.|Polygonum chinensis L.|Spiraea formosana|Tribulus terrestris,AfroDB|KNApSaCK|Super Natural II|TIPdb (database of Taiwan indigenous plants)|ZINC NP,f,f,,COCONUT,True,True,VZPAURMDJZOGHU,NPC533207,True,0.47150228957577184,2
CNP0346508.1,C=C1[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)CC(=O)[C@@H](OC(C)=O)[C@@]13O[C@H]1[C@@H](OCCCCC(=O)O)[C@@H](O)C(C)(C)[C@@H](CC(=O)OC)[C@@]21C,SPWCFMOODVFHIF-GSWKDWBKSA-N,,"5-[[(1~{R},3~{R},4~{S},5~{S},7~{R},8~{S},9~{S},12~{S},13~{S},16~{S})-16-acetoxy-13-(3-furyl)-5-hydroxy-7-(2-methoxy-2-oxo-ethyl)-6,6,8,12-tetramethyl-17-methylene-15-oxo-2-oxatetracyclo[7.7.1.0^{1,12}.0^{3,8}]heptadecan-4-yl]oxy]pentanoic acid",C35H48O11,644.76,4.6,158.8,10,2,10,0.21,1,1,0.71,2.57,Terpenoids,Triterpenoids,Limonoids,Carboxylic acids and derivatives,Organic acids and derivatives,Tricarboxylic acids and derivatives,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,SPWCFMOODVFHIF,,False,0.44221600541552275,3
CNP0346376.1,CC(C)C1=CC2=CC=C3C(C)(C)[C@@H](OC(=O)c4ccccc4)CC[C@]3(C)[C@@H]2C(=O)C1=O,AMNIHONGCLKGSD-BERHBOFZSA-N,,"[(2~{S},4~{a}~{R},4~{b}~{R})-7-isopropyl-1,1,4~{a}-trimethyl-5,6-dioxo-2,3,4,4~{b}-tetrahydrophenanthren-2-yl] benzoate",C27H30O4,418.53,5.26,60.44,4,0,3,0.5,1,1,0.44,1.96,Terpenoids,Diterpenoids,Abeoabietane diterpenoids,Prenol lipids,Lipids and lipid-like molecules,Diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,AMNIHONGCLKGSD,,False,0.43930873806185516,4
CNP0215695.1,CC(C)C1=CC2=CC=C3C(C)(C)[C@@H](OC(=O)c4ccccc4)CC[C@]3(C)C2=C(O)[C@H]1O,UAFNBKSIDYRJDO-MYIHVTGJSA-N,,"[(2~{S},4~{a}~{S},6~{S})-5,6-dihydroxy-7-isopropyl-1,1,4~{a}-trimethyl-2,3,4,6-tetrahydrophenanthren-2-yl] benzoate",C27H32O4,420.55,5.67,66.76,4,2,3,0.62,1,1,0.44,2.25,Terpenoids,Diterpenoids,Abeoabietane diterpenoids,Prenol lipids,Lipids and lipid-like molecules,Diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,UAFNBKSIDYRJDO,,False,0.4268048042090845,5
CNP0215656.2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-MRXNPFEDSA-N,(R)-colchicine,"~{N}-[(7~{R})-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5~{H}-benzo[a]heptalen-7-yl]acetamide",C22H25NO6,399.44,2.87,83.09,6,1,5,0.83,0,2,0.36,0.75,Alkaloids,Tyrosine alkaloids,Phenethylisoquinoline alkaloids,Tropones,Hydrocarbon derivatives,Tropones,Actinoplanes regularis|Dalbergia melanoxylon|Lepidium meyeni|Lycopodiella alopecuroides|Pinus palustris|Plectranthus hadiensis var. tomentosus|Protium opacum,AfroDB|NPASS|Super Natural II|ZINC NP,f,f,,COCONUT,True,True,IAKHMKGGTNLKSZ,NPC226941,True,0.41990425072498705,6
CNP0321708.1,C=C(C)[C@H]1CC[C@]2(C)CC[C@]3(C)[C@@H](CC[C@H]4[C@@]5(C)CC[C@@H](CC(=O)O)C(C)(C)[C@H]5CC[C@]43C)[C@H]12,BWKIBIGYSCCMLU-ZPUPUCTRSA-N,,"2-[(1~{S},3~{a}~{R},5~{a}~{R},5~{b}~{R},7~{a}~{R},9~{S},11~{a}~{S},11~{b}~{S},13~{a}~{S},13~{b}~{S})-1-isopropenyl-3~{a},5~{a},5~{b},8,8,11~{a}-hexamethyl-1,2,3,4,5,6,7,7~{a},9,10,11,11~{b},12,13,13~{a},13~{b}-hexadecahydrocyclopenta[a]chrysen-9-yl]acetic acid",C32H52O2,468.77,8.75,37.3,1,1,3,0.42,1,0,0.91,2.77,Terpenoids,Triterpenoids,Lupane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Lupane triterpenoids,,AfroDB,f,f,,COCONUT,True,True,BWKIBIGYSCCMLU,NPC561689,True,0.4161098762984066,7
CNP0110434.2,CC(C)C1=CC2=CC=C3C(C)(C)[C@H](OC(=O)c4ccccc4)CC[C@]3(C)C2=C(O)C1=O,KCFFKDXTABUTPF-ZBLYBZFDSA-N,,"[(2~{R},4~{a}~{S})-5-hydroxy-7-isopropyl-1,1,4~{a}-trimethyl-6-oxo-3,4-dihydro-2~{H}-phenanthren-2-yl] benzoate",C27H30O4,418.53,5.88,63.6,4,1,3,0.62,1,1,0.41,2.27,Terpenoids,Diterpenoids,Abeoabietane diterpenoids,Prenol lipids,Lipids and lipid-like molecules,Diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,KCFFKDXTABUTPF,NPC570473,True,0.412078111672354,8
CNP0346382.1,COc1cc2c(cc1[C@@H]1C(=O)Oc3cc4occc4cc3C1=O)OCO2,XPXKZRNRBZMAGU-KRWDZBQOSA-N,,"(6~{S})-6-(6-methoxy-1,3-benzodioxol-5-yl)furo[3,2-g]chromene-5,7-dione",C19H12O7,352.3,3.06,84.2,7,0,2,0.4,0,3,0.16,1.03,Shikimates and Phenylpropanoids,Flavonoids,,Isoflavonoids,Phenylpropanoids and polyketides,2'-O-methylated isoflavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,XPXKZRNRBZMAGU,,False,0.4072062482781165,9
CNP0246819.1,COc1cc2c(cc1OC)[C@@H]1C(=O)c3cc4ccoc4cc3O[C@H]1CC2,DDBGUFDZUZVINK-YWZLYKJASA-N,,"(1~{S},13~{S})-16,17-dimethoxy-2,6-dioxapentacyclo[11.8.0.0^{3,11}.0^{5,9}.0^{14,19}]henicosa-3,5(9),7,10,14(19),15,17-heptaen-12-one",C21H18O5,350.37,4.12,57.9,5,0,2,0.7,0,3,0.29,1.59,Shikimates and Phenylpropanoids,Isoflavonoids,Rotenoids,Isoflavonoids,Phenylpropanoids and polyketides,Isoflavanones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,DDBGUFDZUZVINK,,False,0.40625900476650095,10
