identifier,canonical_smiles,p_active,is_african_np,docking_rank
CNP0060964.0,Nc1nc(N)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.7471226175736685,False,1
CNP0507737.1,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.7259881738988141,False,2
CNP0169938.1,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.7149112191157967,False,3
CNP0257972.0,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)=N2,0.7014525423789645,False,4
CNP0589112.0,N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.7010791068021947,False,5
CNP0602969.1,Nc1nc2c(c(=O)[nH]1)N=C(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.6915890438451003,False,6
CNP0342966.2,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.6816537553033996,False,7
CNP0535059.2,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.6696493772361276,False,8
CNP0074723.1,CN1c2c([nH]c(N)nc2=O)NCC1CCNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.6517807925795331,False,9
CNP0564846.2,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.6441110089776562,False,10
CNP0506781.1,Nc1nc2c(c(=O)[nH]1)N1C=[N+](c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C[C@H]1CN2,0.6434293435409146,False,11
CNP0172245.1,NC1=NC(=O)[C+]2N[C@@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CNC2=N1,0.6411153040914691,False,12
CNP0481747.1,Nc1nc(=O)c2c([nH]1)NC[C@@H]1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C=[N+]21,0.6398538933121333,False,13
CNP0525275.1,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)C[C@H]1CN2,0.638816234085922,False,14
CNP0365822.1,O=C(O)CC[C@H](NC(=O)c1cncc(O)c1)C(=O)O,0.6375704496859096,False,15
CNP0601223.1,C[N+]1=C2C(O)=NC(=N)N=C2NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.6367314514511905,False,16
