dock_id,AMES,DILI,hERG,ClinTox,Carcinogens_Lagunin,Skin_Reaction,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,total_flags
CNP0286261_0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4
CNP0275186_1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
CNP0319845_2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
CNP0110434_2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
CNP0346362_1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6
CNP0346376_1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
CNP0329927_1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
CNP0332712_1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4
CNP0309710_3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4
CNP0242596_0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,7
CNP0178940_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNP0539885_2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
pyrimethamine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
