GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,729.5,1854.74,2304.36,-1758.03,-16519.44,875.96,11030.39,-3886.56,89.28,-1482.52,-3797.28,-5279.81
1070,703.08,1852.64,2271.11,-1795.59,-16716.52,906.16,11070.95,-3698.47,82.84,-1708.17,-3615.63,-5323.8
1140,756.44,1780.47,2299.35,-1776.29,-16529.81,889.88,11011.58,-3825.25,84.59,-1568.39,-3740.66,-5309.04
1210,734.87,1824.77,2283.25,-1744.74,-16571.04,896.48,10965.33,-3765.3,87.13,-1611.1,-3678.17,-5289.26
1280,719.35,1779.67,2300.84,-1774.03,-16596.64,888.21,11026.59,-3790.44,85.24,-1656.02,-3705.2,-5361.22
1350,790.37,1806.8,2306.81,-1800.15,-16523.03,895.08,10907.41,-3738.63,80.87,-1616.7,-3657.76,-5274.46
1420,740.12,1857.07,2297.15,-1774.75,-16337.75,877.14,10932.86,-3945.45,86.27,-1408.15,-3859.18,-5267.33
1490,704.59,1758.44,2330.14,-1766.37,-16353.81,903.05,11029.78,-3993.49,84.51,-1394.18,-3908.98,-5303.16
1560,782.67,1792.12,2316.32,-1782.57,-16489.47,864.66,10933.27,-3823.99,87.14,-1583.02,-3736.85,-5319.87
1630,725.06,1855.78,2293.54,-1805.23,-16452.22,874.13,10938.88,-3838.36,85.02,-1570.07,-3753.34,-5323.41
1700,707.29,1818.72,2323.61,-1758.94,-16537.21,906.15,11052.01,-3856.69,86.86,-1488.37,-3769.83,-5258.19
1770,767.7,1794.84,2305.72,-1743.85,-16690.64,878.28,11092.23,-3809.49,87.55,-1595.73,-3721.94,-5317.66
1840,766.81,1836.95,2265.24,-1754.72,-16462.94,875.24,11000.37,-3883.45,90.3,-1473.05,-3793.15,-5266.2
1910,768.08,1780.76,2314.65,-1780.31,-16576.42,854.15,10996.17,-3783.71,86.37,-1642.94,-3697.34,-5340.28
1980,725.73,1777.05,2298.66,-1758.66,-16577.01,874.08,11046.54,-3802.9,88.47,-1613.61,-3714.43,-5328.04
2050,728.66,1763.05,2355.04,-1756.52,-16186.42,897.05,10957.99,-4120.64,91.67,-1241.16,-4028.97,-5270.13
2120,744.3,1839.39,2305.0,-1748.16,-16177.49,919.41,10978.45,-4163.48,89.58,-1139.1,-4073.89,-5212.99
2190,730.58,1812.85,2290.89,-1733.3,-16414.0,887.24,11005.43,-3926.8,90.48,-1420.3,-3836.32,-5256.62
2260,740.9,1823.18,2307.81,-1800.4,-16442.93,872.37,10986.66,-3855.77,86.16,-1512.41,-3769.61,-5282.02
2330,725.93,1767.98,2281.88,-1759.01,-16443.71,882.14,10980.74,-3831.75,87.82,-1564.04,-3743.93,-5307.97
