GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,713.02,1810.28,2260.69,-1741.97,-16361.39,878.09,10697.73,-3757.81,86.34,-1743.55,-3671.46,-5415.02
1070,738.43,1770.28,2283.92,-1726.18,-16237.53,891.47,10688.86,-3887.43,89.89,-1590.75,-3797.54,-5388.29
1140,724.87,1808.73,2242.86,-1714.01,-16116.75,878.86,10668.16,-3994.86,89.88,-1507.28,-3904.98,-5412.26
1210,742.49,1832.03,2238.05,-1767.74,-16006.77,864.29,10622.42,-4021.75,89.49,-1475.23,-3932.26,-5407.49
1280,733.79,1758.56,2275.25,-1768.79,-16070.54,879.61,10726.5,-4033.32,90.47,-1465.62,-3942.85,-5408.47
1350,708.91,1751.91,2287.51,-1759.68,-16221.53,877.27,10657.74,-3865.03,87.67,-1697.88,-3777.36,-5475.24
1420,735.45,1745.25,2273.34,-1708.6,-16291.68,876.94,10705.46,-3819.49,92.12,-1663.84,-3727.37,-5391.21
1490,764.3,1828.35,2274.98,-1714.79,-16365.56,858.61,10658.16,-3790.8,92.27,-1695.95,-3698.53,-5394.47
1560,725.38,1792.37,2274.48,-1760.36,-16155.05,859.8,10623.67,-3854.53,88.65,-1639.72,-3765.89,-5405.6
1630,704.66,1788.37,2264.67,-1748.08,-16037.19,867.39,10687.85,-4037.27,89.83,-1472.33,-3947.45,-5419.78
1700,704.7,1769.52,2301.33,-1729.01,-16240.05,884.45,10724.22,-3936.07,86.49,-1584.83,-3849.59,-5434.42
1770,705.4,1775.42,2254.02,-1739.96,-16075.87,883.47,10729.89,-4050.01,87.13,-1467.62,-3962.88,-5430.5
1840,747.28,1736.52,2298.95,-1710.92,-15943.13,889.16,10661.24,-4187.91,91.72,-1320.89,-4096.2,-5417.09
1910,701.16,1761.36,2290.43,-1771.66,-15980.22,863.5,10655.95,-4119.19,89.91,-1479.47,-4029.29,-5508.76
1980,738.4,1832.89,2258.53,-1737.46,-16115.52,867.8,10714.13,-4027.98,91.36,-1441.22,-3936.61,-5377.83
2050,739.53,1797.43,2271.06,-1720.63,-16044.58,893.13,10691.19,-4077.58,92.03,-1372.87,-3985.55,-5358.42
2120,757.95,1805.92,2249.15,-1732.53,-16181.7,868.44,10681.44,-3950.09,91.08,-1551.34,-3859.01,-5410.34
2190,747.76,1827.64,2255.33,-1734.75,-15846.01,862.6,10553.66,-4126.89,91.99,-1333.76,-4034.9,-5368.66
2260,713.5,1792.24,2258.56,-1753.27,-16024.57,866.28,10641.82,-4057.89,90.78,-1505.45,-3967.11,-5472.56
2330,698.22,1772.82,2287.98,-1704.86,-16153.96,881.04,10676.14,-3960.99,89.41,-1542.61,-3871.58,-5414.19
2400,714.46,1781.45,2285.49,-1679.48,-16297.97,851.43,10619.58,-3812.39,91.16,-1725.03,-3721.24,-5446.27
2470,713.77,1802.54,2284.79,-1703.34,-16306.47,890.38,10652.73,-3838.0,89.02,-1665.61,-3748.98,-5414.59
2540,760.31,1764.17,2286.21,-1762.8,-16025.81,857.34,10673.01,-4099.08,90.79,-1447.56,-4008.29,-5455.85
2610,761.15,1803.13,2275.72,-1735.62,-16144.85,865.21,10654.88,-4005.04,89.81,-1520.38,-3915.23,-5435.61
2680,735.59,1729.82,2303.53,-1745.21,-16281.16,870.99,10696.75,-3856.25,86.76,-1689.7,-3769.49,-5459.18
2750,702.73,1812.62,2316.64,-1756.34,-16274.24,878.85,10765.38,-3942.85,90.41,-1554.36,-3852.44,-5406.8
2820,724.41,1786.86,2235.88,-1752.55,-16240.59,874.63,10620.55,-3837.72,86.28,-1750.81,-3751.44,-5502.25
2890,650.11,1782.31,2264.63,-1727.6,-16061.04,883.19,10674.5,-4040.57,89.79,-1533.9,-3950.77,-5484.68
2960,696.32,1815.46,2278.0,-1766.76,-16297.0,888.9,10680.88,-3833.29,87.66,-1704.18,-3745.63,-5449.81
3030,748.47,1812.2,2268.32,-1708.28,-16355.85,894.25,10717.11,-3881.12,90.05,-1623.77,-3791.07,-5414.84
3100,753.27,1808.17,2289.59,-1748.42,-16294.04,889.83,10736.96,-3908.39,88.62,-1564.65,-3819.76,-5384.42
3170,736.22,1852.66,2249.74,-1720.2,-16169.67,889.68,10636.79,-3928.34,93.26,-1524.78,-3835.08,-5359.85
3240,752.18,1820.97,2243.84,-1727.71,-16095.32,867.04,10567.99,-3931.12,91.72,-1571.01,-3839.4,-5410.41
3310,728.17,1776.55,2269.94,-1667.29,-16260.9,866.26,10660.13,-3888.73,94.57,-1627.13,-3794.16,-5421.3
3380,690.98,1779.28,2265.98,-1752.41,-16126.85,907.33,10636.33,-3952.06,90.33,-1599.37,-3861.73,-5461.1
3450,731.85,1785.58,2263.43,-1721.75,-16215.31,879.45,10641.95,-3882.17,91.45,-1634.79,-3790.72,-5425.52
3520,734.47,1739.22,2239.88,-1697.2,-16215.41,886.17,10645.03,-3889.43,93.6,-1667.84,-3795.83,-5463.67
3590,744.37,1811.78,2276.35,-1723.38,-16401.91,887.87,10649.38,-3696.29,87.24,-1755.54,-3609.05,-5364.59
3660,714.01,1738.56,2246.3,-1746.39,-16184.76,891.46,10703.17,-3939.77,88.53,-1637.64,-3851.24,-5488.88
3730,742.32,1737.73,2262.63,-1703.34,-16096.82,863.56,10610.09,-3945.49,91.63,-1583.82,-3853.86,-5437.68
3800,711.78,1766.27,2248.0,-1698.18,-16078.67,886.83,10670.81,-3982.43,90.22,-1493.16,-3892.21,-5385.37
3870,735.68,1765.68,2247.24,-1736.44,-16023.59,869.24,10627.28,-4011.02,87.64,-1514.91,-3923.37,-5438.29
3940,702.68,1740.44,2257.5,-1750.12,-15936.75,860.37,10620.27,-4047.34,88.32,-1505.61,-3959.02,-5464.63
4010,717.59,1729.2,2260.43,-1749.91,-15952.63,872.5,10670.93,-4100.51,90.06,-1451.9,-4010.45,-5462.34
4080,727.23,1790.54,2251.61,-1747.54,-15885.4,877.33,10628.76,-4152.68,86.87,-1357.48,-4065.81,-5423.29
4150,698.25,1757.3,2266.21,-1767.64,-15983.95,881.49,10661.7,-4050.77,86.29,-1486.65,-3964.48,-5451.13
4220,742.51,1757.37,2280.13,-1709.35,-16094.6,878.19,10632.9,-3959.63,86.26,-1512.83,-3873.37,-5386.2
4290,731.88,1766.45,2272.64,-1747.15,-15875.77,875.87,10605.05,-4167.22,88.05,-1371.03,-4079.17,-5450.21
4360,730.55,1770.36,2242.65,-1721.65,-15813.08,860.38,10592.8,-4163.37,89.43,-1338.0,-4073.94,-5411.94
4430,731.42,1764.76,2262.71,-1719.46,-15983.41,882.72,10625.07,-4077.69,92.31,-1436.19,-3985.38,-5421.57
4500,693.71,1766.66,2263.13,-1682.06,-15902.02,855.4,10666.53,-4179.37,94.77,-1338.65,-4084.6,-5423.24
4570,717.32,1819.31,2263.75,-1720.98,-15951.16,888.67,10650.37,-4117.16,93.45,-1332.72,-4023.71,-5356.44
4640,753.15,1775.62,2232.48,-1696.24,-15900.37,887.46,10611.56,-4116.72,91.96,-1336.34,-4024.76,-5361.1
4710,719.61,1780.75,2251.39,-1758.23,-15959.7,892.98,10648.83,-4084.87,86.86,-1424.37,-3998.01,-5422.39
4780,706.94,1850.47,2241.5,-1766.88,-16254.16,876.01,10659.78,-3825.06,84.34,-1686.35,-3740.72,-5427.06
4850,724.04,1832.66,2255.19,-1767.29,-16034.74,871.65,10643.17,-3993.4,84.96,-1475.31,-3908.43,-5383.75
4920,712.38,1802.52,2242.85,-1748.12,-16030.58,871.44,10541.1,-3925.62,86.39,-1608.41,-3839.23,-5447.64
4990,757.67,1798.81,2270.04,-1739.32,-15912.66,898.75,10653.62,-4134.38,87.6,-1273.08,-4046.78,-5319.85

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,707.19,1798.91,2247.38,-1714.77,-16374.15,868.9,10853.75,-3763.07,87.45,-1612.78,-3675.62,-5288.4
1070,733.91,1762.45,2277.04,-1701.66,-16248.64,883.5,10844.55,-3892.03,90.81,-1448.86,-3801.22,-5250.09
1140,719.34,1802.6,2231.78,-1689.06,-16126.86,870.48,10820.64,-3999.88,90.92,-1371.07,-3908.96,-5280.03
1210,737.55,1826.67,2225.66,-1738.23,-16017.79,857.53,10775.14,-4028.55,90.9,-1333.47,-3937.66,-5271.13
1280,725.64,1752.89,2269.12,-1743.57,-16088.95,871.0,10879.91,-4036.68,91.44,-1333.96,-3945.24,-5279.2
1350,699.09,1745.56,2277.13,-1733.76,-16243.2,870.38,10811.39,-3867.02,88.84,-1573.43,-3778.19,-5351.61
1420,730.76,1739.51,2262.65,-1689.98,-16308.15,868.94,10860.31,-3825.23,92.5,-1535.96,-3732.73,-5268.69
1490,757.02,1816.56,2263.73,-1685.54,-16376.55,851.8,10814.27,-3798.27,93.36,-1558.7,-3704.92,-5263.62
1560,714.68,1779.12,2265.87,-1731.95,-16158.03,849.52,10778.79,-3862.91,89.81,-1501.99,-3773.1,-5275.09
1630,699.62,1778.57,2256.27,-1722.5,-16060.34,857.14,10844.71,-4038.69,90.81,-1346.52,-3947.88,-5294.4
1700,701.06,1759.46,2290.65,-1699.66,-16248.16,876.06,10878.83,-3946.91,87.87,-1441.76,-3859.04,-5300.79
1770,700.07,1769.2,2244.83,-1712.25,-16086.44,874.19,10885.12,-4059.0,88.07,-1325.28,-3970.93,-5296.21
1840,739.64,1726.95,2290.22,-1681.44,-15955.19,882.04,10811.68,-4195.82,93.02,-1186.11,-4102.8,-5288.9
1910,695.99,1755.23,2278.54,-1744.07,-15989.87,855.47,10809.43,-4125.69,91.26,-1339.29,-4034.43,-5373.72
1980,731.53,1824.38,2247.69,-1710.05,-16123.79,858.9,10872.01,-4034.21,92.15,-1299.34,-3942.06,-5241.41
2050,731.08,1789.32,2257.42,-1692.68,-16064.29,885.61,10843.73,-4081.6,93.31,-1249.81,-3988.28,-5238.1
2120,750.47,1797.4,2240.12,-1704.72,-16183.89,859.57,10837.24,-3961.27,92.06,-1403.81,-3869.21,-5273.02
2190,741.23,1819.79,2247.88,-1707.62,-15856.88,852.93,10708.79,-4132.84,93.09,-1193.87,-4039.75,-5233.62
2260,705.46,1784.79,2247.1,-1723.04,-16031.16,857.09,10795.99,-4068.58,91.93,-1363.78,-3976.66,-5340.44
2330,694.52,1763.83,2275.02,-1679.89,-16175.81,872.87,10831.16,-3963.4,90.29,-1418.31,-3873.11,-5291.41
2400,710.26,1773.26,2274.69,-1650.4,-16303.45,843.71,10769.55,-3818.71,92.29,-1582.38,-3726.42,-5308.8
2470,709.21,1794.46,2272.41,-1677.51,-16311.69,880.45,10805.36,-3844.46,90.14,-1527.31,-3754.33,-5281.64
2540,757.06,1752.22,2277.7,-1731.77,-16033.55,850.01,10824.22,-4105.45,91.97,-1304.1,-4013.47,-5317.57
2610,751.47,1797.84,2263.89,-1708.7,-16152.82,856.82,10808.44,-4013.17,90.79,-1383.07,-3922.38,-5305.46
2680,729.5,1722.25,2295.83,-1714.89,-16291.03,861.46,10850.74,-3865.49,88.19,-1546.14,-3777.3,-5323.44
2750,700.21,1803.83,2303.32,-1726.27,-16283.36,870.63,10918.69,-3950.35,91.56,-1412.96,-3858.79,-5271.75
2820,718.88,1776.62,2224.78,-1727.55,-16267.33,865.41,10778.35,-3834.57,86.82,-1630.85,-3747.75,-5378.6
2890,645.34,1777.14,2254.63,-1704.63,-16081.48,876.07,10826.6,-4039.59,90.55,-1406.34,-3949.04,-5355.38
2960,689.98,1803.21,2271.48,-1747.31,-16317.63,878.7,10837.52,-3833.1,88.1,-1584.05,-3745.0,-5329.05
3030,745.6,1807.67,2257.51,-1687.84,-16381.29,884.48,10870.73,-3879.2,90.68,-1503.13,-3788.52,-5291.65
3100,744.88,1799.09,2276.97,-1724.27,-16313.81,882.23,10889.95,-3909.0,89.49,-1444.95,-3819.51,-5264.46
3170,727.17,1845.09,2241.55,-1697.73,-16191.35,881.58,10789.07,-3927.46,94.18,-1404.62,-3833.28,-5237.9
3240,747.53,1812.26,2235.09,-1706.57,-16112.74,858.84,10723.42,-3936.96,92.76,-1442.17,-3844.2,-5286.37
3310,724.56,1766.03,2258.4,-1644.16,-16275.99,857.79,10816.64,-3895.84,95.34,-1496.73,-3800.5,-5297.23
3380,683.06,1770.84,2253.0,-1730.24,-16144.68,896.73,10789.71,-3953.38,90.86,-1481.58,-3862.52,-5344.09
3450,722.47,1778.48,2250.96,-1703.2,-16219.36,872.32,10795.09,-3892.48,92.09,-1503.25,-3800.39,-5303.64
3520,732.77,1728.27,2232.7,-1679.88,-16223.36,877.84,10797.05,-3897.29,94.28,-1534.61,-3803.01,-5337.62
3590,740.56,1806.37,2262.17,-1699.93,-16422.69,880.15,10801.87,-3696.64,87.97,-1631.5,-3608.67,-5240.16
3660,712.08,1732.64,2237.89,-1719.19,-16196.17,882.89,10855.09,-3945.34,89.31,-1494.79,-3856.02,-5350.81
3730,738.85,1731.64,2252.11,-1680.79,-16111.9,854.84,10762.36,-3946.8,91.87,-1452.89,-3854.93,-5307.83
3800,703.4,1758.05,2237.79,-1670.95,-16096.95,878.86,10824.73,-3984.38,91.0,-1365.06,-3893.38,-5258.44
3870,730.74,1755.29,2237.79,-1707.41,-16044.67,860.1,10779.55,-4012.27,88.73,-1388.62,-3923.54,-5312.16
3940,695.75,1730.97,2246.4,-1725.78,-15945.44,851.36,10773.8,-4054.19,89.08,-1372.93,-3965.1,-5338.04
4010,715.19,1722.04,2250.75,-1723.32,-15972.09,863.89,10825.86,-4103.27,90.82,-1317.69,-4012.45,-5330.14
4080,721.73,1781.14,2241.06,-1718.53,-15900.23,868.6,10782.52,-4155.67,87.76,-1223.72,-4067.92,-5291.64
4150,692.1,1751.53,2254.01,-1740.99,-15994.58,869.9,10817.62,-4054.33,87.24,-1350.41,-3967.09,-5317.5
4220,738.33,1748.41,2271.9,-1686.91,-16107.19,868.1,10789.9,-3961.44,86.95,-1377.46,-3874.48,-5251.94
4290,722.46,1760.91,2262.74,-1721.48,-15891.57,868.77,10756.57,-4166.59,88.72,-1241.61,-4077.88,-5319.48
4360,724.69,1762.5,2234.17,-1693.45,-15826.4,853.04,10743.94,-4166.31,90.26,-1201.5,-4076.04,-5277.55
4430,724.85,1756.06,2251.71,-1691.23,-15997.43,871.23,10780.02,-4082.61,93.06,-1304.8,-3989.55,-5294.35
4500,688.03,1756.22,2255.21,-1658.66,-15906.96,847.21,10818.1,-4187.64,95.85,-1200.84,-4091.78,-5292.63
4570,711.01,1810.01,2249.55,-1696.83,-15965.37,878.88,10809.58,-4120.97,94.04,-1203.17,-4026.93,-5230.1
4640,748.02,1766.11,2225.26,-1671.04,-15909.58,878.99,10764.83,-4124.21,93.3,-1197.42,-4030.92,-5228.34
4710,713.42,1771.55,2242.73,-1736.09,-15970.3,884.7,10802.09,-4089.05,87.76,-1291.9,-4001.3,-5293.2
4780,701.77,1842.77,2233.38,-1741.53,-16264.67,867.73,10814.23,-3830.8,85.2,-1546.31,-3745.6,-5291.91
